Ticker,Sector,Market Cap,P/E,P/S,P/B,P/C,P/FCF,Outstanding,Float,Inst Own,Float Short,Short Ratio,ROA,ROE,Curr R,Debt/Eq,Perf Week,Perf Month,Perf Year,Volatility W,Volatility M,SMA20,SMA50,SMA200,50D High,50D Low,52W High,52W Low,RSI,Gap,Rel Volume,Price,Change,Volume
TRUE,Communication Services,503.91M,-,1.66,1.62,2.82,28.47,107.69M,92.90M,83.10%,10.39%,10.54,-5.20%,-6.50%,6.50,0.00,7.57%,8.05%,25.45%,3.71%,3.94%,1.78%,8.13%,21.77%,-6.74%,23.79%,-25.19%,144.44%,56.56,1.04%,0.16,4.84,0.21%,22670
TRVG,Communication Services,835.34M,-,1.85,1.04,3.07,37.80,353.54M,26.11M,59.00%,7.45%,0.74,-25.40%,-32.00%,7.40,0.00,-3.23%,4.80%,-14.59%,15.83%,17.43%,3.69%,6.37%,28.75%,-58.93%,62.08%,-58.93%,93.20%,52.42,0.42%,1.50,2.41,0.62%,633585
TRVI,Healthcare,62.80M,-,-,1.71,1.18,-,18.14M,12.18M,78.50%,0.38%,0.54,-54.80%,-67.30%,9.00,0.39,10.89%,13.71%,-28.05%,6.43%,6.50%,8.56%,11.40%,-13.44%,-6.00%,37.08%,-61.29%,147.37%,59.06,3.27%,6.33,3.29,-2.08%,87583
TRVN,Healthcare,411.73M,-,137.24,3.39,3.65,-,157.03M,155.53M,11.70%,14.25%,6.36,-34.80%,-42.50%,28.10,0.00,19.18%,20.83%,214.46%,7.79%,6.18%,12.09%,11.45%,24.34%,-3.42%,23.30%,-30.98%,452.17%,60.87,2.68%,2.87,2.54,-2.68%,1594425
TRX,Basic Materials,144.10M,-,-,5.68,68.62,-,209.17M,200.65M,13.90%,1.16%,0.91,-,-,0.40,0.23,5.03%,10.24%,37.07%,43.58%,15.81%,6.52%,12.33%,-2.30%,-61.88%,28.87%,-61.88%,102.25%,53.97,-1.04%,1.85,0.73,-1.32%,759667
TRXC,Healthcare,444.43M,-,158.73,4.98,-,-,176.00M,97.63M,21.40%,9.45%,0.39,-76.10%,-98.10%,3.20,0.05,9.25%,225.51%,151.18%,13.01%,23.64%,15.28%,117.66%,359.85%,-29.24%,661.86%,-29.24%,1022.11%,63.00,1.25%,0.93,3.14,-1.51%,3514729
TSI,Financial,265.96M,27.99,14.77,0.99,-,-,47.75M,-,28.38%,-,0.83,-,-,-,-,-0.36%,-0.54%,-4.30%,0.86%,1.35%,0.43%,-0.89%,-1.26%,-3.21%,2.48%,-7.07%,43.57%,49.37,0.18%,0.74,5.59,0.27%,14123
TTI,Energy,228.38M,-,0.28,-,3.04,7.88,125.89M,116.87M,44.80%,0.72%,0.40,-12.30%,-850.10%,2.40,-,80.00%,96.36%,46.94%,18.15%,12.73%,56.73%,104.00%,223.95%,-2.00%,204.86%,-2.00%,897.73%,83.79,1.85%,2.68,2.19,1.62%,906397
TTNP,Healthcare,35.31M,-,7.06,-,8.61,-,9.86M,5.29M,3.00%,9.64%,0.25,-188.30%,-,1.10,-,9.01%,8.33%,-53.92%,10.65%,7.16%,5.90%,-0.67%,-44.87%,-47.21%,16.28%,-78.59%,24.11%,54.20,0.28%,1.21,3.50,-0.28%,394539
TTOO,Healthcare,360.48M,-,26.90,20.00,8.77,-,147.79M,140.78M,12.70%,6.91%,1.06,-96.50%,714.40%,5.00,2.53,18.81%,70.21%,160.87%,10.56%,13.10%,54.49%,105.68%,132.31%,4.52%,202.17%,4.52%,1198.68%,74.72,41.67%,28.03,3.05,27.16%,40955416
TURN,Financial,68.99M,-,43.12,0.82,8.73,34.50,10.37M,9.71M,33.10%,0.34%,0.83,-4.30%,-4.40%,-,0.00,3.91%,4.07%,1.99%,3.53%,3.94%,4.00%,7.77%,20.61%,-16.85%,21.56%,-16.85%,115.06%,61.49,-0.89%,3.34,6.71,1.53%,21178
TUSK,Energy,211.37M,-,0.71,0.36,15.21,-,45.76M,34.90M,62.40%,1.04%,0.99,-17.90%,-26.10%,4.00,0.16,10.62%,-3.03%,196.69%,8.71%,9.51%,-2.16%,12.20%,108.67%,-20.18%,126.56%,-20.18%,676.79%,52.21,0.67%,0.21,4.35,-2.90%,12283
TV,Communication Services,4.93B,-,1.02,1.31,2.22,7.70,564.00M,558.57M,49.40%,0.19%,0.82,-0.70%,-2.90%,1.40,2.26,-1.95%,-6.63%,-27.07%,4.16%,3.74%,-1.52%,0.36%,24.09%,-10.49%,11.47%,-30.04%,79.78%,51.30,1.25%,0.84,8.36,4.11%,169318
TWI,Industrials,446.33M,-,0.36,2.68,4.52,11.97,60.93M,57.80M,66.10%,3.34%,3.44,-6.40%,-35.80%,2.00,2.74,11.79%,43.49%,148.01%,6.39%,7.86%,1.84%,21.90%,126.00%,-11.19%,74.75%,-11.19%,572.38%,57.92,0.13%,1.21,7.06,-5.74%,108762
TWIN,Industrials,126.89M,-,0.54,0.81,13.64,-,13.20M,10.21M,56.30%,0.76%,2.23,-12.80%,-26.90%,2.50,0.35,-4.33%,-2.60%,-14.74%,5.92%,6.50%,-1.92%,9.13%,36.95%,-11.96%,54.36%,-17.62%,86.15%,52.69,0.58%,0.15,8.67,0.64%,834
TWO,Real Estate,1.76B,-,-,0.84,1.09,5.62,273.71M,271.36M,63.60%,2.20%,1.56,-7.10%,-72.60%,-,8.49,0.48%,2.45%,-59.63%,3.16%,2.80%,0.18%,-1.27%,15.16%,-6.45%,6.70%,-60.01%,181.70%,50.94,0.00%,1.39,6.34,1.09%,854697
TXMD,Healthcare,522.82M,-,8.98,-,6.57,-,272.57M,266.15M,54.10%,24.82%,9.54,-83.20%,310.20%,2.60,-,13.84%,37.12%,-29.57%,10.91%,9.65%,20.81%,35.47%,29.63%,-3.67%,59.99%,-31.35%,115.70%,74.12,3.87%,4.16,1.84,1.65%,4592906
